timestamp,message
1714073863286,"{'inputMode': 'Text', 'sessionId': '035527339877923', 'inputTranscript': 'burger king', 'interpretations': [{'interpretationSource': 'Lex', 'nluConfidence': 1.0, 'intent': {'name': 'BurgerBee', 'slots': {'BurgerSize': {'shape': 'Scalar', 'value': {'originalValue': 'double', 'resolvedValues': ['Double'], 'interpretedValue': 'double'}}, 'BurgerFranchise': {'shape': 'Scalar', 'value': {'originalValue': 'burger king', 'resolvedValues': ['burger king'], 'interpretedValue': 'burger king'}}, 'BurgerType': None}, 'state': 'InProgress', 'confirmationState': 'None'}}, {'interpretationSource': 'Lex', 'intent': {'name': 'FallbackIntent', 'slots': {}, 'state': 'InProgress', 'confirmationState': 'None'}}], 'bot': {'name': 'Mybot', 'version': 'DRAFT', 'localeId': 'en_US', 'id': 'OC2JM2BVQB', 'aliasId': 'TSTALIASID', 'aliasName': 'TestBotAlias'}, 'responseContentType': 'text/plain; charset=utf-8', 'proposedNextState': {'prompt': {'attempt': 'Initial'}, 'intent': {'name': 'BurgerBee', 'slots': {'BurgerSize': {'shape': 'Scalar', 'value': {'originalValue': 'double', 'resolvedValues': ['Double'], 'interpretedValue': 'double'}}, 'BurgerFranchise': {'shape': 'Scalar', 'value': {'originalValue': 'burger king', 'resolvedValues': ['burger king'], 'interpretedValue': 'burger king'}}, 'BurgerType': None}, 'state': 'InProgress', 'confirmationState': 'None'}, 'dialogAction': {'type': 'ElicitSlot', 'slotToElicit': 'BurgerType'}}, 'sessionState': {'originatingRequestId': 'b55c73c6-e1a4-4fb4-a2d4-d9da1aaa81d6', 'sessionAttributes': {}, 'activeContexts': [], 'intent': {'name': 'BurgerBee', 'slots': {'BurgerSize': {'shape': 'Scalar', 'value': {'originalValue': 'double', 'resolvedValues': ['Double'], 'interpretedValue': 'double'}}, 'BurgerFranchise': {'shape': 'Scalar', 'value': {'originalValue': 'burger king', 'resolvedValues': ['burger king'], 'interpretedValue': 'burger king'}}, 'BurgerType': None}, 'state': 'InProgress', 'confirmationState': 'None'}}, 'transcriptions': [{'resolvedContext': {'intent': 'BurgerBee'}, 'resolvedSlots': {'BurgerFranchise': {'shape': 'Scalar', 'value': {'originalValue': 'burger king', 'resolvedValues': ['burger king']}}}, 'transcriptionConfidence': 1.0, 'transcription': 'burger king'}], 'messageVersion': '1.0', 'invocationSource': 'DialogCodeHook'}
"
1714073863286,"Validating BurgerType Slot
"
1714073863286,"{'sessionState': {'dialogAction': {'slotToElicit': 'BurgerType', 'type': 'ElicitSlot'}, 'intent': {'name': 'BurgerBee', 'slots': {'BurgerSize': {'shape': 'Scalar', 'value': {'originalValue': 'double', 'resolvedValues': ['Double'], 'interpretedValue': 'double'}}, 'BurgerFranchise': {'shape': 'Scalar', 'value': {'originalValue': 'burger king', 'resolvedValues': ['burger king'], 'interpretedValue': 'burger king'}}, 'BurgerType': None}}}}
"
1714073863287,"END RequestId: abc62fc2-c283-474d-9783-5ae9c63944f2
"
1714073863287,"REPORT RequestId: abc62fc2-c283-474d-9783-5ae9c63944f2	Duration: 1.66 ms	Billed Duration: 2 ms	Memory Size: 128 MB	Max Memory Used: 35 MB	
"
1714073868277,"START RequestId: 221d8a86-f9c6-40da-a0aa-1f398c6508d8 Version: $LATEST
"
1714073868278,"{'inputMode': 'Text', 'sessionId': '035527339877923', 'inputTranscript': 'egg', 'interpretations': [{'interpretationSource': 'Lex', 'nluConfidence': 1.0, 'intent': {'name': 'BurgerBee', 'slots': {'BurgerSize': {'shape': 'Scalar', 'value': {'originalValue': 'double', 'resolvedValues': ['Double'], 'interpretedValue': 'double'}}, 'BurgerFranchise': {'shape': 'Scalar', 'value': {'originalValue': 'burger king', 'resolvedValues': ['burger king'], 'interpretedValue': 'burger king'}}, 'BurgerType': {'shape': 'Scalar', 'value': {'originalValue': 'egg', 'resolvedValues': ['egg'], 'interpretedValue': 'egg'}}}, 'state': 'InProgress', 'confirmationState': 'None'}}, {'interpretationSource': 'Lex', 'intent': {'name': 'FallbackIntent', 'slots': {}, 'state': 'InProgress', 'confirmationState': 'None'}}], 'bot': {'name': 'Mybot', 'version': 'DRAFT', 'localeId': 'en_US', 'id': 'OC2JM2BVQB', 'aliasId': 'TSTALIASID', 'aliasName': 'TestBotAlias'}, 'responseContentType': 'text/plain; charset=utf-8', 'sessionState': {'originatingRequestId': 'b55c73c6-e1a4-4fb4-a2d4-d9da1aaa81d6', 'sessionAttributes': {}, 'activeContexts': [], 'intent': {'name': 'BurgerBee', 'slots': {'BurgerSize': {'shape': 'Scalar', 'value': {'originalValue': 'double', 'resolvedValues': ['Double'], 'interpretedValue': 'double'}}, 'BurgerFranchise': {'shape': 'Scalar', 'value': {'originalValue': 'burger king', 'resolvedValues': ['burger king'], 'interpretedValue': 'burger king'}}, 'BurgerType': {'shape': 'Scalar', 'value': {'originalValue': 'egg', 'resolvedValues': ['egg'], 'interpretedValue': 'egg'}}}, 'state': 'InProgress', 'confirmationState': 'None'}}, 'transcriptions': [{'resolvedContext': {'intent': 'BurgerBee'}, 'resolvedSlots': {'BurgerType': {'shape': 'Scalar', 'value': {'originalValue': 'egg', 'resolvedValues': ['egg']}}}, 'transcriptionConfidence': 1.0, 'transcription': 'egg'}], 'messageVersion': '1.0', 'invocationSource': 'DialogCodeHook'}
"
1714073868278,"Invalid BurgerType for burger king
"
1714073868278,"{'sessionState': {'dialogAction': {'slotToElicit': 'BurgerType', 'type': 'ElicitSlot'}, 'intent': {'name': 'BurgerBee', 'slots': {'BurgerSize': {'shape': 'Scalar', 'value': {'originalValue': 'double', 'resolvedValues': ['Double'], 'interpretedValue': 'double'}}, 'BurgerFranchise': {'shape': 'Scalar', 'value': {'originalValue': 'burger king', 'resolvedValues': ['burger king'], 'interpretedValue': 'burger king'}}, 'BurgerType': {'shape': 'Scalar', 'value': {'originalValue': 'egg', 'resolvedValues': ['egg'], 'interpretedValue': 'egg'}}}}}, 'messages': [{'contentType': 'PlainText', 'content': 'Would you like to add? plain, cheese, bacon.'}]}
"
1714073868279,"END RequestId: 221d8a86-f9c6-40da-a0aa-1f398c6508d8
"
